institution_code,form_factor,cathode,temperature,soc_window,charge_discharge_rate,replicate_letter,source_base,source_file,source_folder,cell_id
SNL,18650,NMC,25C,40-60,0.5-0.5C,b,SNL_18650_NMC_25C_40-60_0.5-0.5C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_25C_40-60_0.5-0.5C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_25C_40_60_0_5_0_5C_b
SNL,18650,NMC,25C,40-60,0.5-3C,a,SNL_18650_NMC_25C_40-60_0.5-3C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_25C_40-60_0.5-3C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_25C_40_60_0_5_3C_a
SNL,18650,NMC,25C,40-60,0.5-3C,b,SNL_18650_NMC_25C_40-60_0.5-3C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_25C_40-60_0.5-3C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_25C_40_60_0_5_3C_b
SNL,18650,NMC,35C,0-100,0,(1).5-2C,SNL_18650_NMC_35C_0-100_0 (1).5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0 (1).5-2C_b_timeseries.gsheet,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_1_5_2C_b
SNL,18650,NMC,35C,0-100,0.5-1C,a,SNL_18650_NMC_35C_0-100_0.5-1C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-1C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_1C_a
SNL,18650,NMC,35C,0-100,0.5-1C,b,SNL_18650_NMC_35C_0-100_0.5-1C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-1C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_1C_b
SNL,18650,NMC,35C,0-100,0.5-1C,c,SNL_18650_NMC_35C_0-100_0.5-1C_c,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-1C_c_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_1C_c
SNL,18650,NMC,35C,0-100,0.5-1C,d,SNL_18650_NMC_35C_0-100_0.5-1C_d,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-1C_d_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_1C_d
SNL,18650,NMC,35C,0-100,0.5-2C,a,SNL_18650_NMC_35C_0-100_0.5-2C_a,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-2C_a_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_2C_a
SNL,18650,NMC,35C,0-100,0.5-2C,b,SNL_18650_NMC_35C_0-100_0.5-2C_b,/content/drive/MyDrive/SandiaNationalLab/SNL NMC/SNL_18650_NMC_35C_0-100_0.5-2C_b_timeseries.csv,/content/drive/MyDrive/SandiaNationalLab/SNL NMC,sandia_SNL_18650_NMC_35C_0_100_0_5_2C_b
